,time,open,high,low,close,volume
2039,2022-04-29 17:10:00,875.2,876.0,875.0,875.69,12241
2040,2022-04-29 17:05:00,874.7955,875.4,874.2301,875.0,5614
2041,2022-04-29 17:00:00,875.3903,875.3903,870.76,874.4,91234
2042,2022-04-29 16:55:00,874.98,875.45,874.62,875.18,8936
2043,2022-04-29 16:50:00,875.1,875.22,874.62,874.62,5241
2044,2022-04-29 16:45:00,874.04,875.3999,873.6336,875.0,9263
2045,2022-04-29 16:40:00,874.02,874.45,870.76,873.86,10165
2046,2022-04-29 16:35:00,874.8594,874.8594,870.76,874.2,13602
2047,2022-04-29 16:30:00,873.82,874.75,870.76,874.75,68054
2048,2022-04-29 16:25:00,873.7,874.5,873.62,873.8461,211102
2049,2022-04-29 16:20:00,871.62,874.0,870.76,873.0,26056
2050,2022-04-29 16:15:00,874.98,875.27,870.9,872.01,37201
2051,2022-04-29 16:10:00,872.49,876.97,870.76,875.0,37969
2052,2022-04-29 16:05:00,870.76,873.0,868.0,872.0008,408211
2053,2022-04-29 16:00:00,871.64,874.19,870.0,870.18,994474
2054,2022-04-29 15:55:00,875.61,875.9899,870.0,872.005,588122
2055,2022-04-29 15:50:00,880.13,880.77,875.43,875.78,366493
2056,2022-04-29 15:45:00,882.8,884.3,879.63,880.37,279224
2057,2022-04-29 15:40:00,882.7,885.15,881.795,882.7872,230275
2058,2022-04-29 15:35:00,881.8,884.95,881.27,882.83,262121
2059,2022-04-29 15:30:00,884.95,886.73,881.85,882.05,189816
2060,2022-04-29 15:25:00,885.99,886.7999,883.22,884.95,209605
2061,2022-04-29 15:20:00,880.29,886.88,879.64,885.99,320579
2062,2022-04-29 15:15:00,880.25,882.27,879.52,880.16,219926
2063,2022-04-29 15:10:00,884.03,884.225,880.25,880.46,223917
2064,2022-04-29 15:05:00,883.58,884.84,880.92,884.1,219092
2065,2022-04-29 15:00:00,879.3,884.55,878.712,883.735,246860
2066,2022-04-29 14:55:00,879.19,880.88,877.75,879.4,225739
2067,2022-04-29 14:50:00,882.833,882.9448,878.6301,879.105,240939
2068,2022-04-29 14:45:00,881.09,883.02,880.52,882.81,170729
2069,2022-04-29 14:40:00,885.12,886.1646,881.055,881.055,178933
2070,2022-04-29 14:35:00,884.345,886.9,883.45,884.925,164272
2071,2022-04-29 14:30:00,884.39,886.95,884.207,884.49,199040
2072,2022-04-29 14:25:00,889.0634,889.1057,882.0,884.29,234090
2073,2022-04-29 14:20:00,888.61,892.719,887.7441,889.21,217675
2074,2022-04-29 14:15:00,889.1366,889.33,886.1,888.57,221177
2075,2022-04-29 14:10:00,891.8,892.48,888.88,888.88,162952
2076,2022-04-29 14:05:00,891.88,892.81,889.28,891.84,272305
2077,2022-04-29 14:00:00,895.23,895.5,891.8303,891.86,205604
2078,2022-04-29 13:55:00,896.8,898.42,895.152,895.45,156774
2079,2022-04-29 13:50:00,900.22,900.59,896.99,896.99,153930
2080,2022-04-29 13:45:00,901.59,902.32,899.26,900.34,166349
2081,2022-04-29 13:40:00,903.18,905.8,901.64,901.7,165736
2082,2022-04-29 13:35:00,901.0601,903.9215,901.0601,902.7514,131879
2083,2022-04-29 13:30:00,902.05,903.9421,900.02,901.305,164964
2084,2022-04-29 13:25:00,899.55,902.2894,898.51,901.76,141956
2085,2022-04-29 13:20:00,901.1,902.16,899.3342,899.79,122499
2086,2022-04-29 13:15:00,899.62,901.37,898.24,901.37,129551
2087,2022-04-29 13:10:00,901.34,901.7299,899.42,899.71,137459
2088,2022-04-29 13:05:00,895.9471,903.4,895.59,901.5665,284299
2089,2022-04-29 13:00:00,896.17,898.0,895.15,895.9897,129249
2090,2022-04-29 12:55:00,897.74,898.15,895.58,896.3,206863
2091,2022-04-29 12:50:00,893.39,898.25,893.22,897.74,226980
2092,2022-04-29 12:45:00,901.3965,903.0,893.32,893.32,450748
2093,2022-04-29 12:40:00,903.85,904.3644,901.4,901.5839,131417
2094,2022-04-29 12:35:00,905.665,905.665,901.94,903.7499,177094
2095,2022-04-29 12:30:00,905.61,906.64,903.53,905.7027,156524
2096,2022-04-29 12:25:00,904.2125,907.1,903.0601,905.6499,166239
2097,2022-04-29 12:20:00,906.6641,907.01,901.5,904.17,194583
2098,2022-04-29 12:15:00,903.72,908.1,903.65,906.8001,210518
2099,2022-04-29 12:10:00,903.8,906.16,903.0,903.8907,214087
